id,fullname,section,email,subject,marks
1001,Creigh Wintersgill,E,cwintersgill0@fc2.com,English,78
1002,Birgitta Bugby,A,bbugby1@intel.com,Multimedia,82
1003,Germaine Bembrigg,A,gbembrigg2@blogs.com,IT,75
1004,Francesco Jefferd,B,fjefferd3@google.pl,Multimedia,90
1005,Laura Burcher,E,lburcher4@bloglovin.com,English,90
1006,Fielding Fernley,B,ffernley5@columbia.edu,IT,73
1007,Jaime McGaugie,C,jmcgaugie6@google.it,Multimedia,75
1008,Aurora Cainey,B,acainey7@linkedin.com,Math,77
1009,Orren Vanichkin,B,ovanichkin8@yandex.ru,English,87
1010,Caterina Tibbs,E,ctibbs9@arizona.edu,Multimedia,79
1011,Dominique McAloren,B,dmcalorena@163.com,Multimedia,84
1012,Clay Dowty,B,cdowtyb@tamu.edu,Multimedia,90
1013,Pen Vardie,A,pvardiec@cisco.com,Multimedia,100
1014,Kariotta McGaugey,E,kmcgaugeyd@bbc.co.uk,English,70
1015,Sheba Salzberger,D,ssalzbergere@washingtonpost.com,IT,80
1016,Chaim Freestone,D,cfreestonef@prlog.org,English,72
1017,Dita Hellen,B,dhelleng@nationalgeographic.com,Multimedia,81
1018,Taryn Klyner,A,tklynerh@dedecms.com,Multimedia,87
1019,Philipa Dubbin,E,pdubbini@uol.com.br,IT,94
1020,Job Birtchnell,D,jbirtchnellj@unc.edu,IT,76
1021,Rodd Najafian,D,rnajafiank@seesaa.net,IT,76
1022,Albertine Wickie,A,awickiel@wired.com,Data science,87
1023,Justino Quipp,D,jquippm@imgur.com,Multimedia,85
1024,Brianne Lowder,D,blowdern@dot.gov,Data science,94
1025,Flori Grzelczak,E,fgrzelczako@spiegel.de,Multimedia,94
1026,Ursala Pregel,E,upregelp@washington.edu,Data science,80
1027,Jorrie Tredget,C,jtredgetq@e-recht24.de,English,87
1028,Kristien Ayliff,D,kayliffr@mashable.com,Data science,91
1029,Olly Cess,D,ocesss@java.com,IT,98
1030,Kerri Sisnett,A,ksisnettt@home.pl,English,80
1031,Lance Alten,B,laltenu@unblog.fr,IT,81
1032,Brose Ferrieres,C,bferrieresv@ovh.net,English,79
1033,Gertrudis Bedder,D,gbedderw@godaddy.com,English,79
1034,Matilda Charette,A,mcharettex@alibaba.com,Data science,78
1035,Chaunce Badwick,E,cbadwicky@mapy.cz,Multimedia,93
1036,Frances Deavall,C,fdeavallz@wordpress.org,Multimedia,76
1037,Kevyn Woolfall,C,kwoolfall10@youtu.be,Multimedia,85
1038,Maximilien Ridoutt,D,mridoutt11@free.fr,Math,98
1039,Jojo Dudenie,E,jdudenie12@gov.uk,IT,84
1040,Melitta Eloy,D,meloy13@oracle.com,IT,87
1041,Toiboid Linguard,B,tlinguard14@devhub.com,Multimedia,72
1042,Whitney Kalewe,A,wkalewe15@cocolog-nifty.com,English,98
1043,Panchito Manhood,B,pmanhood16@hc360.com,IT,79
1045,Blair Duffer,D,bduffer17@springer.com,IT,93
1046,Ulrick Coldbreath,E,ucoldbreath18@redcross.org,Multimedia,73
1047,Sebastien Reneke,C,sreneke19@ezinearticles.com,English,86
1048,Gigi Scotchbrook,B,gscotchbrook1a@studiopress.com,IT,73
1049,Aloin Tedder,C,atedder1b@msu.edu,English,100
1050,Ninnette Wanjek,D,nwanjek1c@tinypic.com,Data science,98
1051,Marmaduke Benkhe,D,mbenkhe1d@pbs.org,IT,83
1052,Heriberto Tidd,C,htidd1e@google.com,Data science,78
1053,Delinda Wilcinskis,D,dwilcinskis1f@tiny.cc,Math,88
1054,Allis Grunder,E,agrunder1g@foxnews.com,IT,91
1055,Talyah Critch,B,tcritch1h@indiegogo.com,Data science,98
1056,Chrysler Blaszczak,D,cblaszczak1i@house.gov,Multimedia,97
1057,Micheline Hissett,E,mhissett1j@illinois.edu,Math,93
1058,Ethelin Ace,E,eace1k@ucoz.com,IT,91
1059,Lucho Onyon,C,lonyon1l@hibu.com,Data science,95
1060,Pearla Geddes,D,pgeddes1m@businessweek.com,Math,94
1061,Mellisent Kitcher,C,mkitcher1n@disqus.com,Math,93
1062,Vernice Carncross,B,vcarncross1o@ebay.co.uk,Math,95
1063,Emlynne Cargo,E,ecargo1p@gizmodo.com,English,85
1064,Valle Vicent,A,vvicent1q@mapy.cz,Data science,90
1065,Hobey Crasswell,B,hcrasswell1r@timesonline.co.uk,IT,82
1066,Adrea Keal,E,akeal1s@theatlantic.com,English,96
1067,Bentlee Pilmer,E,bpilmer1t@who.int,IT,81
1068,Davine Bedminster,C,dbedminster1u@adobe.com,Math,87
1069,Xymenes Portsmouth,D,xportsmouth1v@xing.com,English,73
1070,Martie Crowcroft,B,mcrowcroft1w@dion.ne.jp,English,85
1071,Chryste Spolton,B,cspolton1x@java.com,English,88
1072,Rabi Soper,E,rsoper1y@gizmodo.com,IT,87
1073,Ardyth Flowith,E,aflowith1z@house.gov,IT,78
1074,Kipper Podbury,A,kpodbury20@youku.com,Data science,80
1075,Nolly Greenlies,E,ngreenlies21@google.co.jp,Math,73
1076,Abbi Retchless,D,aretchless22@mysql.com,IT,73
1077,Othella Abbatini,A,oabbatini23@intel.com,English,97
1078,Ralph Dillicate,D,rdillicate24@tripod.com,Math,99
1079,Fiann Beedell,D,fbeedell25@foxnews.com,Data science,70
1080,Calhoun Darrell,D,cdarrell26@jalbum.net,English,73
1081,Ronica Powys,D,rpowys27@abc.net.au,Data science,72
1082,Brendan Mowle,C,bmowle28@ycombinator.com,Math,74
10833,Karl Wohler,E,kwohler29@macromedia.com,Data science,99
1084,Clayton Cleef,B,ccleef2a@g.co,Math,90
1085,Bessie Hartle,D,bhartle2b@berkeley.edu,English,77
1086,Hana Giorgietto,E,hgiorgietto2c@ed.gov,English,83
1087,Katuscha Pegden,A,kpegden2d@mit.edu,Math,94
1088,Jehu Penrice,D,jpenrice2e@intel.com,Math,97
1089,Monah Thalmann,A,mthalmann2f@example.com,Math,85
1090,Errick Gauford,A,egauford2g@yellowbook.com,Multimedia,71
1091,Allayne Coviello,C,acoviello2h@goo.ne.jp,Math,79
1092,Tracy Coyett,C,tcoyett2i@storify.com,English,71
1093,Kerrie Teas,B,kteas2j@psu.edu,Multimedia,80
1094,Benedikt McKeggie,B,bmckeggie2k@virginia.edu,English,77
1095,Celestyna Tyrrell,C,ctyrrell2l@newsvine.com,Math,76
1096,Aksel Trippitt,D,atrippitt2m@shinystat.com,IT,73
1097,Keene O'Hollegan,A,kohollegan2n@123-reg.co.uk,Multimedia,85
1098,Silvain Kippling,A,skippling2o@sourceforge.net,Multimedia,73
1099,Catharina Dahmel,B,cdahmel2p@xrea.com,IT,74
1100,Krisha Tidcomb,D,ktidcomb2q@example.com,English,85
1101,Steward Aggis,B,saggis2r@sina.com.cn,IT,73
1102,Daniel O'Scannill,A,doscannill2s@spotify.com,English,74
1103,Ruby Nisby,A,rnisby2t@vinaora.com,Math,97
1104,Rebecka Kochl,B,rkochl2u@va.gov,Math,92
1105,Neal Evett,B,nevett2v@mac.com,Multimedia,71
1106,Theressa Yepiskopov,E,tyepiskopov2w@auda.org.au,English,93
1107,Bride Recke,A,brecke2x@paypal.com,Data science,93
1108,Lloyd Ellacombe,D,lellacombe2y@webeden.co.uk,IT,88
1109,Xever Dunn,D,xdunn2z@jiathis.com,Math,75
1110,Cindie Faucherand,C,cfaucherand30@skyrock.com,Math,70
1111,Simonne Farnaby,E,sfarnaby31@feedburner.com,Math,84
1112,Derek Chalcraft,D,dchalcraft32@google.cn,English,100
1113,Lockwood St. Pierre,C,lst33@woothemes.com,Data science,85
1114,Dalenna Vasilic,D,dvasilic34@plala.or.jp,Multimedia,88
1115,Margo Rosenbush,C,mrosenbush35@ft.com,Multimedia,72
1116,Phillip Thirst,D,pthirst36@mapquest.com,English,82
1117,Konstantine Rance,C,krance37@usda.gov,Data science,86
1118,Chrystal Kissick,C,ckissick38@si.edu,English,96
1119,Brenna Frankish,D,bfrankish39@istockphoto.com,IT,87
1120,Alec Lalevee,C,alalevee3a@baidu.com,English,77
1121,Veradis Burwood,B,vburwood3b@cornell.edu,Data science,77
1122,Paolo Allabarton,B,pallabarton3c@irs.gov,English,95
1123,Delinda Hatherleigh,D,dhatherleigh3d@slashdot.org,Multimedia,70
1124,Jada Mariner,D,jmariner3e@va.gov,IT,86
1125,Jannelle Budgen,E,jbudgen3f@hubpages.com,Data science,94
1126,Bendite Aleksandrov,B,baleksandrov3g@ask.com,English,98
1127,Augustus Holson,A,aholson3h@cdbaby.com,Data science,84
1128,Stevy McCowen,E,smccowen3i@bloomberg.com,English,90
1129,Gunther Longo,C,glongo3j@si.edu,IT,85
1130,Ignazio Offener,D,ioffener3k@hugedomains.com,Data science,81
1131,Lawrence Oblein,D,loblein3l@msu.edu,IT,88
1132,Annelise Powdrell,D,apowdrell3m@weibo.com,IT,98
1133,Ahmed Sallan,E,asallan3n@opera.com,IT,96
1134,Otho Agent,D,oagent3o@tamu.edu,Math,95
1135,Nels Tsar,E,ntsar3p@dagondesign.com,English,99
1136,Jaclyn Sieghart,E,jsieghart3q@woothemes.com,Multimedia,70
1137,Hurleigh Veasey,C,hveasey3r@harvard.edu,Multimedia,75
1138,Jaine Roger,C,jroger3s@parallels.com,IT,81
1139,Winston Wootton,B,wwootton3t@yandex.ru,Multimedia,100
1140,Winston Juckes,C,wjuckes3u@army.mil,Multimedia,100
1141,Wayne Volk,E,wvolk3v@gmpg.org,English,83
